Latitude (generated),Longitude (generated),start_year,Start_month,Gis Acres,Cause
34.53684619,-118.5988065,1980,5,15,14
34.54967958,-117.0248643,1980,7,10957,14
34.55547196,-118.0518013,1980,6,105,14
34.56851848,-118.0395011,1980,6,125,14
34.58405225,-117.1374996,1980,7,318,14
34.58738963,-117.0851604,1980,7,599,14
34.58902638,-118.4882496,1980,9,7848,14
34.62477427,-117.0486289,1980,7,493,14
34.6535949,-119.0638374,1980,11,5655,4
34.68268857,-120.2923761,1980,10,366,14
34.68477776,-117.0827968,1980,9,3,14
34.68868288,-118.3279799,1980,7,65,14
34.68919584,-117.0768567,1980,9,156,14
34.69433843,-118.3173824,1980,7,63,14
34.71130733,-118.0894642,1980,7,174,14
34.72110406,-118.0860254,1980,7,48,14
34.72596208,-118.3723189,1980,7,245,14
34.74196675,-118.3757229,1980,6,692,14
34.74457084,-118.8189403,1980,7,3969,14
34.761232,-118.2644387,1980,7,287,14
34.76708332,-118.2795579,1980,8,142,14
34.77373022,-118.2641278,1980,7,140,14
34.79638496,-119.5891681,1980,7,854,1
35.18902757,-120.5150073,1980,9,415,Prescribed Burn
35.43553408,-120.510472,1980,7,246,14
35.44393694,-118.7713505,1980,8,1923,2
35.48302264,-118.7483363,1980,7,519,10
35.58506369,-118.5125708,1980,7,676,1
35.73585478,-118.4076841,1980,6,110,9
35.80504592,-120.3918628,1980,7,358,14
35.88489484,-120.6106012,1980,8,772,14
35.92824088,-118.4638424,1980,7,20,1
35.93623989,-118.7332959,1980,7,589,1
35.94197242,-120.8822559,1980,7,84,14
36.02179275,-120.2480944,1980,6,742,14
36.0407869,-118.7264397,1980,6,28,9
36.09324441,-118.4725238,1980,9,15,3
36.1154138,-118.4050574,1980,6,5,1
36.12879451,-118.1201692,1980,7,4998,4
36.15899346,-118.3673561,1980,6,12,7
36.20526095,-118.6674741,1980,11,31,9
36.24468797,-120.4446731,1980,6,395,14
36.35051693,-118.7144159,1980,12,472,18
36.36615414,-121.5489249,1980,8,734,14
36.40697429,-121.2262826,1980,9,2045,14
36.48108239,-121.159109,1980,1,1,Prescribed Burn
36.48119496,-121.1795345,1980,6,3,Prescribed Burn
36.4820777,-121.1783638,1980,5,0,Prescribed Burn
36.48358335,-121.1864604,1980,4,1,Prescribed Burn
36.49015235,-121.2214042,1980,5,13,Prescribed Burn
36.49070358,-118.8584802,1980,6,12,Prescribed Burn
36.49947745,-118.8624924,1980,6,0,Prescribed Burn
36.50069743,-121.2177677,1980,5,4,Prescribed Burn
36.50134082,-118.8395277,1980,11,176,Prescribed Burn
36.50668649,-121.054716,1980,8,355,14
36.51060863,-118.8068168,1980,6,0,Prescribed Burn
36.5107073,-118.8675761,1980,9,120,Prescribed Burn
36.52736627,-118.7947045,1980,10,129,Prescribed Burn
36.52934946,-121.385854,1980,8,392,14
36.55412441,-118.6139965,1980,9,871,Prescribed Burn
36.55468265,-118.7453182,1980,8,19,Prescribed Burn
36.57691714,-118.7791087,1980,10,21,4
